questionName,questionLink,voteCount,answerLink,summary
游戏里的 BOSS 每天都在干嘛？不寂寞吗？,http://www.zhihu.com/question/24078583,20286,http://www.zhihu.com/question/24078583/answer/26668990,谢邀“当他们杀害安达利尔时，我没有站起来说话， 当他们杀害阿兹莫丹时，我没有站起来说话， 当他们杀害堕落的衣卒尔时，我没有站起来说话， 当最终他们走向我时，再也没有人站出来为我说话。” 题记我姓迪，这个姓现在不多见了，我认识的人里，除了台湾歌… 
为什么很多人沉迷于电脑，即使完全没有意义，也会不由自主的打开电脑玩游戏？,http://www.zhihu.com/question/26625463,14566,http://www.zhihu.com/question/26625463/answer/33462354,本回答针对网络成瘾者，即有明显沉迷且自觉降低生活质量而难以自控的人。自觉不成瘾的、能合理游戏的人不用浪费时间评论，请拿剩下来时间补习一下小学语文。在我看来，目前绝大多数网络成瘾者面对的问题，并不是游戏和网络的魅力太大，而是他们逃避自我内心… 
为什么越来越多大学生沉溺于游戏中？,http://www.zhihu.com/question/20957940,14374,http://www.zhihu.com/question/20957940/answer/20933540,去年十月份epic game发布了它的著名ios动作游戏系列“无尽之剑”的第三代，作为该系列的忠实粉丝，我也在第一时间就下载进行了试玩。简要介绍一下这个著名的动作系列，infinity blade，玩家可以将同一轮关卡无限次通关，取得更高的等级与装备，从而抗衡世界… 
一个 32 岁的有家庭有娃的男人每天将所有业余时间都用来玩魔兽世界，怎么才能拯救？,http://www.zhihu.com/question/28596384,13539,http://www.zhihu.com/question/28596384/answer/41480716,没给过除知乎系列之外任何公开网站/公众号等的转载授权，这几天陆陆续续有知友们私信说在哪哪哪看到了，想着也许能帮到知乎以外的大家，就含混过去了。刚刚在 @慕秋枫 同学的指引下看到了盗转的文章，篡改了我和这帖里其他答主的答案揉捏成一篇奇异的社会新… 
游戏行业有哪些有名的夫妻档？,http://www.zhihu.com/question/25956477,11177,http://www.zhihu.com/question/25956477/answer/31804274,我和我老婆算不算……都是做游戏美术的……她是这张图原图作者……她的微博Sina Visitor System她的博客地址冬小_新浪博客这货现在有知乎了~朱晓冬这么多赞了……我老婆会不会劈了我……太多赞了.....太羞射了......这是两年前我俩租的老房子，环境就是这样… 
拳皇 97 中的角色在出招时候喊的是什么？,http://www.zhihu.com/question/21095633,11044,http://www.zhihu.com/question/21095633/answer/39283349,春节快到了。我准备玩一把大的，算是给各位知友的新年礼物（流量预警：手机用户请Wi-Fi）。没错，我做了个KOF97所有角色的语音台词表，蛋疼到足够终结这个问题。表中包括通常人物29人，外加94京、暴走庵、暴走莉安娜、大蛇队3人和大蛇，共36名角色；包括除… 
你遇过最坑爹的游戏经历是什么？,http://www.zhihu.com/question/21100166,10718,http://www.zhihu.com/question/21100166/answer/17287543,这事儿其实应该邀请我的另一位朋友来回答，不过他似乎不在知乎，算了，我说吧。这个故事需要另一位朋友的配合，另一位朋友我们就叫它古留吧。这个故事发生在网络游戏《无尽的任务》（Everquest）里，大概是10年前的事情，说起EQ这个游戏，其惨烈程度就完全… 
为啥《魔兽争霸 3》火到最近几年才开始衰落？,http://www.zhihu.com/question/20629331,10327,http://www.zhihu.com/question/20629331/answer/59896791,做了将近10年的职业选手，打war3职业的过程中也是见证里CS和星际1的衰弱，觉得很多原因还是相通的。我觉得最主要的是两个方面的内容，一个是游戏本身的画面，一个是游戏的运营模式电子竞技和传统体育最大的差别就在于它的载体是电子游戏，这是一个更新换代… 
游戏里的 BOSS 每天都在干嘛？不寂寞吗？,http://www.zhihu.com/question/24078583,10102,http://www.zhihu.com/question/24078583/answer/26671669,单机和网游的boss，是不同的。单机游戏里的boss，只是个调用类。boss和小兵其实没有区别，他们同来自于第一个基类，只是后来boss开始有了越来越多的调用方法，有了算法，引擎，动态脚本，友元接口，资源预分配……boss说什么，做什么，由各色的文件定的，打… 
有哪些好玩且耐玩的 iOS 游戏？,http://www.zhihu.com/question/22586211,9704,http://www.zhihu.com/question/22586211/answer/25756288,多图预警，手机党流量注意，超高能！看到答题区漫天遍野的2048、别踩白块、糖果粉碎传奇、部落战争，一下没忍住来答题。为什么大家都在写这些游戏？ 是IOS平台上还有很多其他优秀的游戏没有被发掘吗？！！还有质量效应，死亡空间，细胞分裂，刺客信条这些游… 
